真打,切れ味レベル+攻撃力UP[大]
居合術[力],抜刀術[力]+納刀術
剛弾,通常弾強化＋貫通弾強化＋散弾強化
護法,毒無効＋麻痺無効＋睡眠無効＋気絶無効
逆鱗,根性＋「火事場+2」
無慈悲,弱点特効＋「見切り+2」
鉄壁,防御力UP【大】＋鉄面皮
盾使い,ガード強化＋スタミナ急速回復
金剛体,攻撃を受けた時のリアクションが軽減され、
風圧【小】、咆哮ひるみ【小】を無効化できる
尻もち→ひるみ
ふっとび→受け身
味方の攻撃でのけぞらなくなる
軽業師,「回避性能+1」＋飛距離＋体術
属物強化,属性攻撃強化＋アイテム使用強化
舞踏家,回避距離UP＋フルチャージ
精神力,集中＋お肉大b好き
お守りマニア,お守りハンター＋「採取+2」
増収,幸運＋捕獲達人
オトモ指揮官,オトモへの号令＋オトモへの采配
攻撃力UP【超】,攻撃力が+25増加
攻撃力UP【大】,攻撃力が+20増加
攻撃力UP【中】,攻撃力が+15増加
攻撃力UP【小】,攻撃力が+10増加
見切りマスター,会心率が+30%上昇
見切り+3,会心率が+20%上昇
見切り+2,会心率が+15%上昇
見切り+1,会心率が+10%上昇
状態異常攻撃+2,状態異常属性攻撃（毒・麻痺・睡眠）の属性値を上げる
状態異常攻撃+1,状態異常属性攻撃（毒・麻痺・睡眠）の属性値を少し上げる
弱点特攻,肉質45以上の弱点部位へ攻撃した時に、肉質に+5してダメージを与える
破壊王,尻尾を含む部位破壊が可能な部位を、攻撃した際の耐久値減少が1.3倍になる
属性攻撃強化,属性攻撃（火・水・雷・氷・龍）の属性値を1.1倍にする
※ガンランスの砲撃と龍撃砲、ボウガンの徹甲榴弾と拡散弾の爆発は除く
火属性攻撃強化+3,武器の火属性値が1.15倍＋90になる（1の位は切り捨て）　※ガンランスの砲撃と龍撃砲、ボウガンの徹甲榴弾と拡散弾の爆発は除く
火属性攻撃強化+2,武器の火属性値が1.10倍＋60になる（1の位は切り捨て）　※ガンランスの砲撃と龍撃砲、ボウガンの徹甲榴弾と拡散弾の爆発は除く
火属性攻撃強化+1,武器の火属性値が1.05倍＋40になる（1の位は切り捨て）　※ガンランスの砲撃と龍撃砲、ボウガンの徹甲榴弾と拡散弾の爆発は除く
水属性攻撃強化+3,武器の水属性値が1.15倍＋90になる（1の位は切り捨て）
水属性攻撃強化+2,武器の水属性値が1.10倍＋60になる（1の位は切り捨て）
水属性攻撃強化+1,武器の水属性値が1.05倍＋40になる（1の位は切り捨て）
雷属性攻撃強化+3,武器の雷属性値が1.15倍＋90になる（1の位は切り捨て）
雷属性攻撃強化+2,武器の雷属性値が1.10倍＋60になる（1の位は切り捨て）
雷属性攻撃強化+1,武器の雷属性値が1.05倍＋40になる（1の位は切り捨て）
氷属性攻撃強化+3,武器の氷属性値が1.15倍＋90になる（1の位は切り捨て）
氷属性攻撃強化+2,武器の氷属性値が1.10倍＋60になる（1の位は切り捨て）
氷属性攻撃強化+1,武器の氷属性値が1.05倍＋40になる（1の位は切り捨て）
龍属性攻撃強化+3,武器の龍属性値が1.15倍＋90になる（1の位は切り捨て）
龍属性攻撃強化+2,武器の龍属性値が1.10倍＋60になる（1の位は切り捨て）
龍属性攻撃強化+1,武器の龍属性値が1.05倍＋40になる（1の位は切り捨て）
防御力UP【超】,防御力が1.08倍+30になる　(小数点以下は切り捨て)
防御力UP【大】,防御力が1.05倍+25になる　(小数点以下は切り捨て)
防御力UP【中】,防御力が1.03倍+20になる　(小数点以下は切り捨て)
防御力UP【小】,防御力が1.00倍+15になる　
回避性能+3,回避行動時の無敵時間が0.2秒から0.6秒に延びる
回避性能+2,回避行動時の無敵時間が0.2秒→0.4秒に延びる
回避性能+1,回避行動時の無敵時間が0.2秒→0.33秒に延びる
回避距離UP,回避時の移動距離が1.5倍にアップ
ガード強化,通常ガードできない攻撃もガードできるようになる
一部アイテム使用不可や防御DOWNとなる攻撃をガードした時も、状態異常にならなくなる。
火事場力+2,体力が40％以下になると防御+90＆攻撃が1.3倍
火事場力+1,体力が40％以下になると防御+60～+90
挑戦者+2,同じエリア内の大型モンスターが怒ると、攻撃力UP【大】+見切り+2
挑戦者+1,同じエリア内の大型モンスターが怒ると、攻撃力と会心率がアップ
